id,type,domain,enabled,date_added,date_modified,comment
67,1,expedia.at,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
68,1,sigmapc100.blogspot.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
69,1,newtvworld.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
70,1,azhr158.yoo7.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
71,1,fanlala.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
72,1,franzoesisch-online.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
73,1,animalstime.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
74,1,watchanimeshows.org,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
75,1,intendanceeducation.yoo7.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
76,1,gamesofsega.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
77,1,securityinfowatch.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
78,1,tvshqiphd.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
79,1,gooddrama.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
80,1,watch-series.ag,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
81,1,datutpozitiv.ucoz.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
82,1,crichd.tv,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
83,1,rabbitsforall.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
84,1,ndinsider.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
85,1,delovoe-pismo.my1.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
86,1,skafeed.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
87,1,mugshotssantacruz.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
88,1,christianforums.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
89,1,angatphilippines.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
90,1,watch-tvseries.net,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
91,1,mytvline.ch,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
92,1,acheiusa.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
93,1,thelibertarianrepublic.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
94,1,aneksdot.ru,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
95,1,watchseries.ph,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
96,1,thriftbooks.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
97,1,craftown.com,1,1590646234,1590646234,"Migrated from /etc/pihole/blacklist.txt"
