id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
47,https://ransomwaretracker.abuse.ch/downloads/RW_URLBL.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
48,https://zeustracker.abuse.ch/blocklist.php?download=baddomains,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
49,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265291,2735,0,2
50,https://s3.amazonaws.com/lists.disconnect.me/simple_malware.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265292,1,0,2
51,https://hosts-file.net/emd.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
52,https://hosts-file.net/exp.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
53,https://hosts-file.net/hjk.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
55,https://raw.githubusercontent.com/StevenBlack/hosts/master/data/StevenBlack/hosts,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265293,2121,0,2
56,https://someonewhocares.org/hosts/hosts,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1647746991,10362,0,1
57,https://www.malwaredomainlist.com/hostslist/hosts.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265295,0,0,2
58,https://urlhaus.abuse.ch/downloads/text/,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265296,0,0,2
59,https://hosts-file.net/psh.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
60,https://www.openphish.com/feed.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265298,0,0,2
61,https://zerodot1.gitlab.io/CoinBlockerLists/list.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265299,266513,0,2
62,https://easylist-downloads.adblockplus.org/easylist_noelemhide.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1647746996,21026,20954,1
63,https://easylist-downloads.adblockplus.org/easyprivacy.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1647746997,17492,17451,1
64,https://easylist-downloads.adblockplus.org/easylistspanish.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1647746998,2186,1025,1
65,https://raw.githubusercontent.com/austinheap/sophos-xg-block-lists/master/adguard.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",1646265302,35708,0,2
69,"https://dbl.oisd.nl/ 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
70,"https://phishing.army/download/phishing_army_blocklist_extended.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
71,"https://raw.githubusercontent.com/CHEF-KOCH/Audio-fingerprint-pages/master/AudioFp.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
72,"https://raw.githubusercontent.com/CHEF-KOCH/Canvas-fingerprinting-pages/master/Canvas.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
73,"https://raw.githubusercontent.com/CHEF-KOCH/WebRTC-tracking/master/WebRTC.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
74,"https://raw.githubusercontent.com/CHEF-KOCH/CKs-FilterList/master/HOSTS/Game.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
75,"https://raw.githubusercontent.com/CHEF-KOCH/NSABlocklist/master/HOSTS 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
76,"https://raw.githubusercontent.com/deathbybandaid/piholeparser/master/Subscribable-Lists/ParsedBlacklists/AakList.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
77,"https://raw.githubusercontent.com/deathbybandaid/piholeparser/master/Subscribable-Lists/ParsedBlacklists/Prebake-Obtrusive.txt 	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
78,https://jasonhill.co.uk/pfsense/ytadblock.txt,1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,4
79,"https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
80,"https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-malware.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
81,"https://zerodot1.gitlab.io/CoinBlockerLists/list.txt	",1,1590646234,1590646234,"Migrated from /etc/pihole/adlists.list",,0,0,0
